date,value
1980-01,24.0
1980-02,44.0
1980-03,16.0
1980-04,20.0
1980-05,40.0
1980-06,24.0
1980-07,40.0
1980-08,16.0
1980-09,24.0
1980-10,36.0
1980-11,48.0
1980-12,24.0
1981-01,52.0
1981-02,88.0
1981-03,28.0
1981-04,28.0
1981-05,24.0
1981-06,32.0
1981-07,48.0
1981-08,52.0
1981-09,40.0
1981-10,12.0
1981-11,48.0
1981-12,44.0
1982-01,28.0
1982-02,60.0
1982-03,32.0
1982-04,52.0
1982-05,40.0
1982-06,36.0
1982-07,76.0
1982-08,40.0
1982-09,48.0
1982-10,16.0
1982-11,40.0
1982-12,48.0
1983-01,32.0
1983-02,52.0
1983-03,8.0
1983-04,4.0
1983-05,48.0
1983-06,20.0
1983-07,36.0
1983-08,20.0
1983-09,36.0
1983-10,56.0
1983-11,36.0
1983-12,36.0
1984-01,56.0
1984-02,104.0
1984-03,56.0
1984-04,24.0
1984-05,72.0
1984-06,24.0
1984-07,48.0
1984-08,8.0
1984-09,48.0
1984-10,64.0
1984-11,96.0
1984-12,52.0
1985-01,36.0
1985-02,40.0
1985-03,24.0
1985-04,28.0
1985-05,36.0
1985-06,60.0
1985-07,36.0
1985-08,36.0
1985-09,56.0
1985-10,32.0
1985-11,40.0
1985-12,96.0
1986-01,36.0
1986-02,44.0
1986-03,52.0
1986-04,36.0
1986-05,35.0
1986-06,45.0
1986-07,15.0
1986-08,45.0
1986-09,30.0
1986-10,210.0
1986-11,144.0
1986-12,144.0
1987-01,90.0
1987-02,156.0
1987-03,126.0
1987-04,138.0
1987-05,108.0
1987-06,119.0
1987-07,112.0
1987-08,120.0
1987-09,144.0
1987-10,240.0
1987-11,130.0
1987-12,110.0
1988-01,110.0
1988-02,108.0
1988-03,117.0
1988-04,104.0
1988-05,108.0
1988-06,192.0
1988-07,81.0
1988-08,180.0
1988-09,120.0
1988-10,121.0
1988-11,44.0
1988-12,44.0
1989-01,99.0
1989-02,99.0
1989-03,108.0
1989-04,63.0
1989-05,63.0
1989-06,90.0
1989-07,80.0
1989-08,33.0
1989-09,55.0
1989-10,110.0
1989-11,70.0
1989-12,99.0
1990-01,72.0
1990-02,50.0
1990-03,120.0
1990-04,135.0
1990-05,45.0
1990-06,72.0
1990-07,33.0
1990-08,99.0
1990-09,100.0
1990-10,44.0
1990-11,198.0
1990-12,96.0
1991-01,72.0
1991-02,80.0
1991-03,80.0
1991-04,88.0
1991-05,60.0
1991-06,96.0
1991-07,30.0
1991-08,143.0
1991-09,132.0
1991-10,77.0
1991-11,121.0
1991-12,192.0
1992-01,91.0
1992-02,250.0
1992-03,165.0
1992-04,60.0
1992-05,50.0
1992-06,100.0
1992-07,22.0
1992-08,187.0
1992-09,96.0
1992-10,110.0
1992-11,108.0
1992-12,156.0
1993-01,60.0
1993-02,144.0
1993-03,36.0
1993-04,143.0
1993-05,572.0
1993-06,225.0
1993-07,66.0
1993-08,88.0
1993-09,48.0
1993-10,96.0
1993-11,130.0
1993-12,140.0
1994-01,224.0
1994-02,120.0
1994-03,52.0
1994-04,144.0
1994-05,120.0
1994-06,80.0
1994-07,110.0
1994-08,156.0
1994-09,169.0
1994-10,154.0
1994-11,224.0
1994-12,135.0
1995-01,32.0
1995-02,180.0
1995-03,105.0
1995-04,156.0
1995-05,88.0
1995-06,55.0
1995-07,143.0
1995-08,154.0
1995-09,120.0
1995-10,105.0
1995-11,105.0
1995-12,48.0
1996-01,102.0
1996-02,176.0
1996-03,240.0
1996-04,120.0
1996-05,224.0
1996-06,143.0
1996-07,112.0
1996-08,48.0
1996-09,32.0
1996-10,153.0
1996-11,340.0
1996-12,216.0
1997-01,190.0
1997-02,272.0
1997-03,255.0
1997-04,102.0
1997-05,112.0
1997-06,126.0
1997-07,68.0
1997-08,128.0
1997-09,130.0
1997-10,132.0
1997-11,288.0
1997-12,338.0
1998-01,660.0
1998-02,180.0
1998-03,260.0
1998-04,132.0
1998-05,90.0
1998-06,126.0
1998-07,132.0
1998-08,84.0
1998-09,132.0
1998-10,338.0
1998-11,169.0
1998-12,135.0
1999-01,464.0
1999-02,286.0
1999-03,156.0
1999-04,78.0
1999-05,160.0
1999-06,253.0
1999-07,154.0
1999-08,130.0
1999-09,130.0
1999-10,112.0
1999-11,350.0
1999-12,256.0
2000-01,561.0
2000-02,210.0
2000-03,150.0
2000-04,135.0
2000-05,187.0
2000-06,180.0
2000-07,75.0
2000-08,126.0
2000-09,90.0
2000-10,208.0
2000-11,240.0
2000-12,119.0
2001-01,620.0
2001-02,85.0
2001-03,136.0
2001-04,221.0
2001-05,221.0
2001-06,117.0
2001-07,170.0
2001-08,105.0
2001-09,150.0
2001-10,170.0
2001-11,210.0
2001-12,238.0
2002-01,651.0
2002-02,289.0
2002-03,270.0
2002-04,85.0
2002-05,182.0
2002-06,247.0
2002-07,102.0
2002-08,464.0
2002-09,390.0
2002-10,108.0
2002-11,234.0
2002-12,160.0
2003-01,575.0
2003-02,180.0
2003-03,171.0
2003-04,32.0
2003-05,117.0
2003-06,198.0
2003-07,90.0
2003-08,85.0
2003-09,48.0
2003-10,19.0
2003-11,266.0
2003-12,110.0
2004-01,550.0
2004-02,210.0
2004-03,189.0
2004-04,63.0
2004-05,180.0
2004-06,240.0
2004-07,100.0
2004-08,154.0
2004-09,60.0
2004-10,294.0
2004-11,210.0
2004-12,250.0
2005-01,638.0
2005-02,176.0
2005-03,225.0
2005-04,312.0
2005-05,76.0
2005-06,266.0
2005-07,288.0
2005-08,147.0
2005-09,110.0
2005-10,161.0
2005-11,391.0
2005-12,200.0
2006-01,728.0
2006-02,286.0
2006-03,207.0
2006-04,220.0
2006-05,187.0
2006-06,198.0
2006-07,168.0
2006-08,42.0
2006-09,126.0
2006-10,88.0
2006-11,220.0
2006-12,234.0
2007-01,532.0
2007-02,345.0
2007-03,276.0
2007-04,230.0
2007-05,360.0
2007-06,304.0
2007-07,360.0
2007-08,132.0
2007-09,115.0
