Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,Haymarket Square,Uber,UberXL,13.0,0.9906666666666668,2.3,1.1446153846153846,0.49,0.914,20.5,13.23076923076923,9.5,0.0,1.0,1.0,1.0,40.66066666666666,1.41
2018-11-26 07:00:00+00:00,Haymarket Square,Uber,UberXL,6.0,0.9675,2.31,1.5733333333333333,0.61,0.92,15.0,13.166666666666666,9.5,0.0,1.0,1.0,1.0,41.1625,1.7675
2018-11-26 08:00:00+00:00,Haymarket Square,Uber,UberXL,3.0,0.98,1.16,0.7133333333333333,0.49,0.9233333333333332,13.0,10.333333333333334,8.5,0.0,1.0,1.0,1.0,40.95666666666667,1.37
2018-11-26 09:00:00+00:00,Haymarket Square,Uber,UberXL,8.0,1.0,1.79,1.06375,0.61,0.9275,14.0,12.375,9.0,0.0,1.0,1.0,1.0,40.9275,1.3075
2018-11-26 10:00:00+00:00,Haymarket Square,Uber,UberXL,15.0,0.995,2.08,1.0613333333333332,0.49,0.94,17.0,12.1,9.5,0.0,1.0,1.0,1.0,40.69,1.94
2018-11-26 11:00:00+00:00,Haymarket Square,Uber,UberXL,5.0,0.955,1.84,1.1960000000000002,0.99,0.94,14.0,12.0,10.5,0.0,1.0,1.0,1.0,40.22,2.41
2018-11-26 12:00:00+00:00,Haymarket Square,Uber,UberXL,11.0,0.94,2.04,1.0345454545454549,0.49,0.94,18.5,13.136363636363637,9.5,0.0,1.0,1.0,1.0,40.31,2.915
2018-11-26 13:00:00+00:00,Haymarket Square,Uber,UberXL,10.0,0.91,1.79,1.046,0.49,0.91,17.0,11.6,9.5,0.0026,1.0,1.0,1.0,42.035,3.6
2018-11-26 14:00:00+00:00,Haymarket Square,Uber,UberXL,16.0,0.905,2.3,0.9825,0.49,0.905,17.0,11.625,9.0,0.0030499999999999,1.0,1.0,1.0,42.875,3.025
2018-11-26 15:00:00+00:00,Haymarket Square,Uber,UberXL,10.0,0.93,1.16,0.7310000000000001,0.49,0.895,13.5,10.55,9.0,0.0,1.0,1.0,1.0,43.855,4.25
2018-11-26 16:00:00+00:00,Haymarket Square,Uber,UberXL,17.0,0.92,2.3,1.2776470588235294,0.49,0.875,18.5,12.823529411764708,9.5,0.0,1.0,1.0,1.0,44.965,5.135
