date,value
1980-01,36.0
1980-05,60.0
1980-09,52.0
1981-01,24.0
1981-05,48.0
1981-09,36.0
1982-01,60.0
1982-05,52.0
1982-09,108.0
1983-01,60.0
1983-05,48.0
1983-09,60.0
1984-01,76.0
1984-05,40.0
1984-09,116.0
1985-01,56.0
1985-05,48.0
1985-09,52.0
1986-01,64.0
1986-05,56.0
1986-09,80.0
1987-01,68.0
1987-05,72.0
1987-09,68.0
1988-01,48.0
1988-05,99.0
1988-09,65.0
1989-01,66.0
1989-05,54.0
1989-09,112.0
1990-01,112.0
1990-05,91.0
1990-09,172.0
1991-01,167.0
1991-05,106.0
1991-09,77.0
1992-01,145.0
1992-05,81.0
1992-09,85.0
1993-01,180.0
1993-05,244.0
1993-09,162.0
1994-01,179.0
1994-05,168.0
1994-09,298.0
1995-01,188.0
1995-05,128.0
1995-09,181.0
1996-01,191.0
1996-05,240.0
1996-09,203.0
1997-01,217.0
1997-05,240.0
1997-09,188.0
1998-01,290.0
1998-05,511.0
1998-09,637.0
1999-01,424.0
1999-05,598.0
1999-09,599.0
2000-01,686.0
2000-05,503.0
2000-09,516.0
2001-01,809.0
2001-05,668.0
2001-09,663.0
2002-01,512.0
2002-05,662.0
2002-09,500.0
2003-01,531.0
2003-05,722.0
2003-09,547.0
2004-01,290.0
2004-05,317.0
2004-09,288.0
2005-01,425.0
2005-05,381.0
2005-09,398.0
2006-01,502.0
2006-05,740.0
2006-09,479.0
2007-01,534.0
2007-05,488.0
2007-09,684.0
2008-01,599.0
2008-05,568.0
2008-09,630.0
2009-01,676.0
2009-05,885.0
2009-09,601.0
2010-01,810.0
2010-05,1088.0
2010-09,646.0
2011-01,638.0
2011-05,781.0
2011-09,1052.0
2012-01,662.0
2012-05,747.0
2012-09,774.0
2013-01,742.0
2013-05,791.0
2013-09,849.0
2014-01,648.0
2014-05,1013.0
2014-09,681.0
2015-01,467.0
2015-05,906.0
2015-09,1076.0
2016-01,916.0
2016-05,516.0
2016-09,548.0
