date,value
1973,486677.0
1974,423098.0
1975,382740.0
1976,437931.0
1977,485495.0
1978,487250.0
1979,508011.0
1980,472182.0
1981,507960.0
1982,515697.0
1983,502175.0
1984,584013.0
1985,635767.0
1986,727219.0
1987,1033525.0
1988,1240470.0
1989,1176189.0
1990,856348.0
1991,1259837.0
1992,1324399.0
1993,1280905.0
1994,1440632.0
1995,1691283.0
1996,2382890.0
1997,1368900.0
1998,945334.0
1999,1020307.0
2000,1382417.0
2001,1336538.0
2002,1395020.0
2003,867160.0
2004,1126250.0
2005,1210848.0
2006,1311111.0
2007,1324336.0
