date,value
1973,47925.0
1974,54832.0
1975,60539.0
1976,77794.0
1977,87488.0
1978,128924.0
1979,206344.0
1980,123644.0
1981,135621.0
1982,153133.0
1983,156600.0
1984,166762.0
1985,176617.0
1986,220469.0
1987,354195.0
1988,1094004.0
1989,1132904.0
1990,1344641.0
1991,1298039.0
1992,1640032.0
1993,1777310.0
1994,1665330.0
1995,1761111.0
1996,1821279.0
1997,1782580.0
1998,1812634.0
1999,2000180.0
2000,2385739.0
2001,2418827.0
2002,2428776.0
2003,1852378.0
2004,2074795.0
2005,2130565.0
2006,2177232.0
2007,2238731.0
