date,value
1960,40671.0
1961,53075.0
1962,76141.0
1963,118008.0
1964,162363.0
1965,215060.0
1966,262354.0
1967,293761.0
1968,307367.0
1969,350017.0
1970,491394.0
1971,652289.0
1972,757907.0
1973,793799.0
1974,907200.0
1975,1036816.0
1976,982321.0
1977,1056045.0
1978,1188949.0
1979,1279695.0
1980,1210972.0
1981,1193964.0
1982,1225369.0
1983,1361535.0
1984,1431172.0
1985,1341600.0
1986,1382000.0
1987,1677071.0
1988,1760595.0
1989,1821100.0
1990,1897330.0
1991,2050100.0
1992,2063700.0
1993,2230450.0
1994,2681700.0
1995,2867490.0
1996,3100420.0
1997,3300970.0
1998,3616870.0
1999,4007700.0
2000,3429325.0
2001,3259398.0
2002,2722668.0
2003,3191123.0
2004,3517179.0
2005,3757957.0
2006,3985918.0
