Timestamp,Location,Provider,Service_Type,api_calls,clouds,distance_max,distance_mean,distance_min,humidity,price_max,price_mean,price_min,rain,surge_max,surge_mean,surge_min,temp,wind
2018-11-26 06:00:00+00:00,West End,Uber,Black SUV,11.0,0.9906666666666668,3.15,1.95,0.72,0.92,36.0,29.363636363636363,26.0,0.0,1.0,1.0,1.0,40.56666666666667,1.3866666666666665
2018-11-26 07:00:00+00:00,West End,Uber,Black SUV,1.0,0.9675,3.08,3.08,3.08,0.925,34.0,34.0,34.0,0.0,1.0,1.0,1.0,41.075,1.7575
2018-11-26 08:00:00+00:00,West End,Uber,Black SUV,,,,,,,34.25,31.916666666666664,30.0,,,,,,
2018-11-26 09:00:00+00:00,West End,Uber,Black SUV,9.0,1.0,3.08,2.413333333333333,0.72,0.93,34.5,29.83333333333333,26.0,0.0,1.0,1.0,1.0,40.835,1.3575
2018-11-26 10:00:00+00:00,West End,Uber,Black SUV,16.0,0.995,3.1,2.04,0.12,0.94,34.0,29.71875,26.0,0.0,1.0,1.0,1.0,40.625,1.95
2018-11-26 11:00:00+00:00,West End,Uber,Black SUV,10.0,0.955,2.84,1.883,0.72,0.94,33.0,28.7,26.0,0.0,1.0,1.0,1.0,40.165,2.36
2018-11-26 12:00:00+00:00,West End,Uber,Black SUV,14.0,0.94,3.15,2.156428571428571,0.89,0.945,33.0,29.035714285714285,26.0,0.0,1.0,1.0,1.0,40.235,2.9000000000000004
2018-11-26 13:00:00+00:00,West End,Uber,Black SUV,7.0,0.91,3.08,2.3685714285714283,1.44,0.915,35.0,29.714285714285715,26.0,0.0026,1.0,1.0,1.0,41.915,3.6
2018-11-26 14:00:00+00:00,West End,Uber,Black SUV,12.0,0.905,3.08,2.1441666666666666,0.72,0.91,34.0,29.5,26.0,0.003,1.0,1.0,1.0,42.755,3.015
2018-11-26 15:00:00+00:00,West End,Uber,Black SUV,13.0,0.93,2.84,1.869230769230769,0.72,0.895,33.5,28.96153846153846,26.0,0.0,1.0,1.0,1.0,43.805,4.21
2018-11-26 16:00:00+00:00,West End,Uber,Black SUV,7.0,0.92,3.08,1.8885714285714288,0.72,0.87,34.0,28.857142857142858,26.0,0.0,1.0,1.0,1.0,45.005,5.09
2018-11-26 17:00:00+00:00,West End,Uber,Black SUV,9.0,0.99,2.84,1.5955555555555554,0.72,0.86,37.5,29.05555555555556,26.0,0.0,1.0,1.0,1.0,45.475,6.325
2018-11-26 18:00:00+00:00,West End,Uber,Black SUV,9.0,0.98,2.9,1.89,0.72,0.88,32.5,28.55555555555556,26.0,0.0,1.0,1.0,1.0,45.055,5.1850000000000005
2018-11-26 19:00:00+00:00,West End,Uber,Black SUV,8.0,0.94,3.15,2.09625,0.72,0.84,36.0,30.1875,27.0,0.0,1.0,1.0,1.0,45.760000000000005,8.315
